transaction_id,date,product_id,product_name,category,region,units_sold,unit_price,revenue,cost,profit,marketing_spend,customer_id,customer_segment,churn_risk
TX-10115,2024-09-23,PROD-105,Strategic BI Advisory,Advisory,North,1,12000,12091.82,4500,7591.82,1166.18,CUST-116,New Startup,Low
TX-10116,2024-09-23,PROD-106,Automated ETL Pipeline,Cloud Services,Central,1,2900,2794.7,700,2094.7,374.49,CUST-745,High-Value Enterprise,Medium
TX-10117,2024-09-23,PROD-102,AI Analytics Engine Pro,Enterprise AI,West,1,8200,8539.82,2100,6439.82,897.76,CUST-575,At-Risk Midmarket,High
TX-10118,2024-09-24,PROD-106,Automated ETL Pipeline,Cloud Services,North,1,2900,2929.91,700,2229.91,277.52,CUST-248,High-Value Enterprise,Medium
TX-10119,2024-09-24,PROD-103,Legacy Data Server V1,Hardware,South,1,3100,3120.59,2200,920.59,338.78,CUST-722,At-Risk Midmarket,High
TX-10120,2024-09-24,PROD-106,Automated ETL Pipeline,Cloud Services,North,2,2900,5998.09,1400,4598.09,784.46,CUST-606,Growth SMB,Low
TX-10121,2024-09-24,PROD-102,AI Analytics Engine Pro,Enterprise AI,West,1,8200,8078.26,2100,5978.26,846.34,CUST-160,Growth SMB,Low
TX-10122,2024-09-25,PROD-101,Stratos Enterprise Suite,Cloud Services,South,2,4500,9081.21,2400,6681.21,923.18,CUST-143,At-Risk Midmarket,High
TX-10123,2024-09-25,PROD-103,Legacy Data Server V1,Hardware,APAC,1,3100,3002.39,2200,802.39,337.81,CUST-315,High-Value Enterprise,High
TX-10124,2024-09-25,PROD-105,Strategic BI Advisory,Advisory,Central,1,12000,12576.69,4500,8076.69,1687.81,CUST-367,At-Risk Midmarket,High
TX-10125,2024-09-25,PROD-103,Legacy Data Server V1,Hardware,EMEA,1,3100,3163.73,2200,963.73,428.73,CUST-893,New Startup,High
TX-10126,2024-09-26,PROD-106,Automated ETL Pipeline,Cloud Services,North,1,2900,2877.31,700,2177.31,367.49,CUST-322,At-Risk Midmarket,High
TX-10127,2024-09-26,PROD-106,Automated ETL Pipeline,Cloud Services,North,3,2900,8752.79,2100,6652.79,952.86,CUST-230,Growth SMB,Low
TX-10128,2024-09-26,PROD-102,AI Analytics Engine Pro,Enterprise AI,West,1,8200,8232.38,2100,6132.38,1049.16,CUST-496,High-Value Enterprise,Low
TX-10129,2024-09-26,PROD-105,Strategic BI Advisory,Advisory,West,1,12000,12444.12,4500,7944.12,1011.41,CUST-858,High-Value Enterprise,Low
TX-10130,2024-09-27,PROD-103,Legacy Data Server V1,Hardware,North,1,3100,2972.45,2200,772.45,244.5,CUST-847,High-Value Enterprise,High
TX-10131,2024-09-27,PROD-104,Smart Edge Gateway,Hardware,EMEA,1,1800,1842.76,950,892.76,173.82,CUST-102,At-Risk Midmarket,High
TX-10132,2024-09-27,PROD-105,Strategic BI Advisory,Advisory,South,1,12000,11680.33,4500,7180.33,963.93,CUST-804,Growth SMB,Medium
TX-10133,2024-09-27,PROD-101,Stratos Enterprise Suite,Cloud Services,North,1,4500,4705.39,1200,3505.39,601.72,CUST-479,Growth SMB,Low
TX-10134,2024-09-28,PROD-106,Automated ETL Pipeline,Cloud Services,West,4,2900,11614.72,2800,8814.72,1089.93,CUST-325,High-Value Enterprise,Low
TX-10135,2024-09-28,PROD-101,Stratos Enterprise Suite,Cloud Services,North,1,4500,4711.1,1200,3511.1,626.7,CUST-198,At-Risk Midmarket,High
TX-10136,2024-09-28,PROD-104,Smart Edge Gateway,Hardware,EMEA,3,1800,5570.55,2850,2720.55,520.66,CUST-219,High-Value Enterprise,Medium
TX-10137,2024-09-28,PROD-101,Stratos Enterprise Suite,Cloud Services,West,1,4500,4669.86,1200,3469.86,448.01,CUST-640,Growth SMB,Medium
TX-10138,2024-09-28,PROD-101,Stratos Enterprise Suite,Cloud Services,APAC,3,4500,13166.08,3600,9566.08,1057.3,CUST-350,High-Value Enterprise,Medium
TX-10139,2024-09-29,PROD-102,AI Analytics Engine Pro,Enterprise AI,North,1,8200,8487.99,2100,6387.99,931.21,CUST-323,High-Value Enterprise,Low
TX-10140,2024-09-29,PROD-103,Legacy Data Server V1,Hardware,Central,1,3100,3027.78,2200,827.78,401.84,CUST-246,Growth SMB,High
TX-10141,2024-09-29,PROD-104,Smart Edge Gateway,Hardware,APAC,4,1800,7381.96,3800,3581.96,660.81,CUST-846,New Startup,Medium
TX-10142,2024-09-29,PROD-101,Stratos Enterprise Suite,Cloud Services,North,1,4500,4425.8,1200,3225.8,551.5,CUST-181,At-Risk Midmarket,High
TX-10143,2024-09-30,PROD-102,AI Analytics Engine Pro,Enterprise AI,Central,1,8200,8025.37,2100,5925.37,939.09,CUST-212,Growth SMB,Low
TX-10144,2024-09-30,PROD-102,AI Analytics Engine Pro,Enterprise AI,West,1,8200,8414.04,2100,6314.04,946.38,CUST-323,Growth SMB,Medium
TX-10145,2024-09-30,PROD-104,Smart Edge Gateway,Hardware,West,1,1800,1878.7,950,928.7,227.84,CUST-341,New Startup,Medium
TX-10146,2024-09-30,PROD-101,Stratos Enterprise Suite,Cloud Services,Central,1,4500,4308.61,1200,3108.61,565.05,CUST-369,At-Risk Midmarket,High
TX-10147,2024-09-30,PROD-105,Strategic BI Advisory,Advisory,East,1,12000,11860.33,4500,7360.33,995.53,CUST-132,Growth SMB,Low
TX-10148,2024-09-30,PROD-103,Legacy Data Server V1,Hardware,South,1,3100,3090.25,2200,890.25,422.31,CUST-198,High-Value Enterprise,High
TX-10149,2024-10-01,PROD-105,Strategic BI Advisory,Advisory,South,1,12000,11557.6,4500,7057.6,1526.57,CUST-481,At-Risk Midmarket,High
TX-10150,2024-10-01,PROD-104,Smart Edge Gateway,Hardware,North,5,1800,8838.67,4750,4088.67,1091.27,CUST-261,At-Risk Midmarket,High
TX-10151,2024-10-01,PROD-105,Strategic BI Advisory,Advisory,North,1,12000,11965.84,4500,7465.84,1347.28,CUST-159,New Startup,Low
TX-10152,2024-10-01,PROD-101,Stratos Enterprise Suite,Cloud Services,North,2,4500,9267.12,2400,6867.12,904.93,CUST-635,High-Value Enterprise,Medium
TX-10153,2024-10-01,PROD-103,Legacy Data Server V1,Hardware,North,1,3100,3130.48,2200,930.48,364.51,CUST-951,Growth SMB,High
TX-10154,2024-10-01,PROD-106,Automated ETL Pipeline,Cloud Services,South,2,2900,5761.28,1400,4361.28,801.17,CUST-820,High-Value Enterprise,Low
TX-10155,2024-10-01,PROD-102,AI Analytics Engine Pro,Enterprise AI,West,3,8200,25713.52,6300,19413.52,3457.67,CUST-878,Growth SMB,Low
TX-10156,2024-10-02,PROD-101,Stratos Enterprise Suite,Cloud Services,North,1,4500,4492.06,1200,3292.06,416.06,CUST-772,Growth SMB,Low
TX-10157,2024-10-02,PROD-102,AI Analytics Engine Pro,Enterprise AI,South,1,8200,8077.51,2100,5977.51,662.29,CUST-215,Growth SMB,Low
TX-10158,2024-10-02,PROD-102,AI Analytics Engine Pro,Enterprise AI,EMEA,2,8200,16679.43,4200,12479.43,2286.63,CUST-416,High-Value Enterprise,Medium
TX-10159,2024-10-03,PROD-106,Automated ETL Pipeline,Cloud Services,West,4,2900,11730.22,2800,8930.22,1279.34,CUST-558,Growth SMB,Medium
TX-10160,2024-10-03,PROD-104,Smart Edge Gateway,Hardware,West,1,1800,1739.52,950,789.52,184.94,CUST-111,At-Risk Midmarket,High
TX-10161,2024-10-03,PROD-104,Smart Edge Gateway,Hardware,North,2,1800,3485.56,1900,1585.56,444.0,CUST-794,New Startup,Low
TX-10162,2024-10-04,PROD-102,AI Analytics Engine Pro,Enterprise AI,North,1,8200,8234.83,2100,6134.83,902.51,CUST-813,At-Risk Midmarket,High
TX-10163,2024-10-04,PROD-103,Legacy Data Server V1,Hardware,West,1,3100,3024.88,2200,824.88,325.95,CUST-961,High-Value Enterprise,High
TX-10164,2024-10-04,PROD-102,AI Analytics Engine Pro,Enterprise AI,West,1,8200,8094.25,2100,5994.25,1127.2,CUST-251,Growth SMB,Low
TX-10165,2024-10-04,PROD-103,Legacy Data Server V1,Hardware,West,1,3100,3215.76,2200,1015.76,431.05,CUST-873,Growth SMB,High
TX-10166,2024-10-04,PROD-103,Legacy Data Server V1,Hardware,West,1,3100,3138.12,2200,938.12,369.96,CUST-836,New Startup,Medium
TX-10167,2024-10-04,PROD-106,Automated ETL Pipeline,Cloud Services,North,3,2900,8480.09,2100,6380.09,1121.45,CUST-722,High-Value Enterprise,Low
TX-10168,2024-10-05,PROD-104,Smart Edge Gateway,Hardware,West,2,1800,3656.43,1900,1756.43,363.86,CUST-523,High-Value Enterprise,Low
TX-10169,2024-10-05,PROD-104,Smart Edge Gateway,Hardware,EMEA,1,1800,1740.56,950,790.56,193.53,CUST-877,Growth SMB,Low
TX-10170,2024-10-05,PROD-101,Stratos Enterprise Suite,Cloud Services,East,2,4500,8700.86,2400,6300.86,715.21,CUST-786,High-Value Enterprise,Low
TX-10171,2024-10-06,PROD-101,Stratos Enterprise Suite,Cloud Services,Central,2,4500,8650.73,2400,6250.73,832.07,CUST-741,At-Risk Midmarket,High
TX-10172,2024-10-06,PROD-101,Stratos Enterprise Suite,Cloud Services,East,1,4500,4329.95,1200,3129.95,463.88,CUST-856,New Startup,Low
TX-10173,2024-10-06,PROD-101,Stratos Enterprise Suite,Cloud Services,East,1,4500,4718.98,1200,3518.98,650.78,CUST-910,High-Value Enterprise,Low
TX-10174,2024-10-06,PROD-101,Stratos Enterprise Suite,Cloud Services,West,2,4500,9150.18,2400,6750.18,808.68,CUST-483,New Startup,Low
TX-10175,2024-10-06,PROD-104,Smart Edge Gateway,Hardware,West,2,1800,3662.14,1900,1762.14,390.48,CUST-616,High-Value Enterprise,Medium
TX-10176,2024-10-06,PROD-102,AI Analytics Engine Pro,Enterprise AI,West,1,8200,7990.2,2100,5890.2,1037.55,CUST-402,New Startup,Low
